boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
The Bronx,44,No,25-44,Male,Black
Brooklyn,88,No,25-44,Male,Black
The Bronx,44,No,45-64,Male,Black
Manhattan,33,No,25-44,Male,Black Hispanic
Manhattan,33,No,25-44,Male,White Hispanic
Brooklyn,79,No,Unknown,Male,Black Hispanic
Manhattan,30,No,45-64,Male,Black
Brooklyn,60,No,45-64,Male,White Hispanic
Brooklyn,77,No,18-24,Male,Black
Brooklyn,81,No,18-24,Male,Black
Brooklyn,71,Yes,25-44,Male,Black
Manhattan,32,No,25-44,Male,Black
Brooklyn,67,No,18-24,Male,Black
Queens,103,No,25-44,Female,Black
Brooklyn,79,No,18 And Under,Female,Black
Brooklyn,67,No,18-24,Male,Black
Brooklyn,79,No,18-24,Female,Black
Brooklyn,79,No,18-24,Male,Asian or Pacific Islander
Brooklyn,79,No,25-44,Male,Black
Queens,105,No,18-24,Male,Black
Brooklyn,79,No,18-24,Male,Black
Brooklyn,67,No,25-44,Male,Black
Brooklyn,67,No,25-44,Male,Black
Brooklyn,71,Yes,25-44,Male,Black Hispanic
Brooklyn,73,No,18-24,Female,Black
Brooklyn,73,No,18-24,Male,Black
Queens,114,No,25-44,Male,Black
Queens,113,No,25-44,Male,Black
Brooklyn,79,No,25-44,Male,Black
Brooklyn,75,No,25-44,Male,Black
The Bronx,46,Yes,25-44,Male,White Hispanic
Brooklyn,71,No,18-24,Male,Black
Brooklyn,71,No,45-64,Female,Black
Brooklyn,83,No,25-44,Male,Black
Brooklyn,83,Yes,25-44,Male,Black
Brooklyn,73,No,25-44,Male,Black Hispanic
Brooklyn,75,No,18-24,Male,Black
Queens,107,No,25-44,Male,Black
Brooklyn,75,Yes,25-44,Male,Black
Queens,114,No,25-44,Male,Black
Queens,114,No,25-44,Male,Black
Brooklyn,88,No,25-44,Female,Black
Brooklyn,81,No,18-24,Male,Black
Brooklyn,81,Yes,18-24,Male,Black
Brooklyn,81,No,25-44,Male,Black
Brooklyn,81,Yes,25-44,Male,Black
The Bronx,41,Yes,25-44,Male,Black Hispanic
Brooklyn,71,No,25-44,Male,Black
Queens,107,No,25-44,Male,Black
Queens,107,No,25-44,Male,Black
Manhattan,5,No,18-24,Female,Black
Manhattan,5,No,18-24,Male,Black
Brooklyn,71,No,25-44,Male,Black
Queens,103,No,18-24,Male,White Hispanic
Queens,103,No,25-44,Male,White Hispanic
Brooklyn,79,No,18-24,Male,White Hispanic
The Bronx,44,No,25-44,Male,Black
Brooklyn,75,No,25-44,Male,White Hispanic
Brooklyn,67,No,25-44,Male,Black
Staten Island,120,No,25-44,Male,Black
Brooklyn,79,No,25-44,Male,Black
Brooklyn,69,No,25-44,Male,Black
Brooklyn,69,No,25-44,Male,Black
The Bronx,43,Yes,25-44,Male,Black
The Bronx,43,Yes,45-64,Female,White Hispanic
Queens,105,No,25-44,Male,Black
The Bronx,40,No,18-24,Male,Black
Brooklyn,75,No,25-44,Male,Black
The Bronx,49,Yes,18-24,Male,White Hispanic
The Bronx,49,Yes,18-24,Male,White Hispanic
The Bronx,46,No,18-24,Male,White Hispanic
Manhattan,30,No,25-44,Male,Black
The Bronx,44,No,25-44,Male,Black Hispanic
The Bronx,45,No,25-44,Male,Black
Brooklyn,71,No,18-24,Male,Black
Brooklyn,71,No,25-44,Male,Black
Brooklyn,90,No,25-44,Male,Black
Manhattan,6,No,25-44,Male,Black
Queens,114,No,18-24,Male,Black
Queens,114,No,25-44,Male,Black
Brooklyn,83,Yes,25-44,Male,Black
Brooklyn,79,No,18-24,Male,Black
Queens,103,No,25-44,Male,Black
Brooklyn,73,No,18-24,Male,Black
The Bronx,47,No,25-44,Male,White Hispanic
Brooklyn,73,No,18-24,Male,Black
Queens,105,No,25-44,Male,Unknown
The Bronx,52,No,25-44,Male,Black
Manhattan,32,Yes,25-44,Male,Black
Manhattan,33,No,18-24,Female,Black
The Bronx,44,No,25-44,Male,Black
The Bronx,44,No,25-44,Male,Black Hispanic
The Bronx,44,No,25-44,Male,White Hispanic
Staten Island,120,No,18-24,Male,Black
Queens,103,Yes,45-64,Male,Black
Brooklyn,67,Yes,18-24,Male,Black
The Bronx,48,No,25-44,Female,White Hispanic
The Bronx,48,Yes,25-44,Female,White Hispanic
The Bronx,48,No,25-44,Male,White Hispanic
The Bronx,48,Yes,25-44,Male,White Hispanic
Queens,103,No,25-44,Male,Black
Brooklyn,73,No,25-44,Male,Black
Manhattan,32,Yes,25-44,Male,Black
Manhattan,34,No,25-44,Male,Unknown
Manhattan,23,No,25-44,Male,Black
